,sample01,sample02,sample03,sample04,sample05,sample06,sample07,sample08,sample09,sample10,sample11,sample12,sample13,sample14,sample15,sample16,sample17,sample18,sample19
ENSMUSG00000102693.1,0,0,0,0,1,1,0,0,1,0,0,0,0,0,0,1,0,0,0
ENSMUSG00000064842.1,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0
ENSMUSG00000051951.5,3591,3083,4374,3046,4619,3230,4026,3913,3493,4889,3340,2893,4138,4921,5553,6994,1737,4885,4409
ENSMUSG00000102851.1,20,22,26,18,17,30,21,18,22,30,22,18,19,47,24,29,6,40,15
ENSMUSG00000103377.1,310,264,332,253,413,304,360,276,351,434,292,256,273,523,436,524,61,382,293
ENSMUSG00000104017.1,147,143,167,152,197,116,184,122,126,196,156,118,116,208,170,245,15,157,127
ENSMUSG00000103025.1,92,70,100,60,132,89,92,71,94,133,70,82,103,107,69,164,24,93,72
ENSMUSG00000089699.1,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0
ENSMUSG00000103201.1,99,91,121,90,142,123,101,98,110,143,120,95,78,109,90,158,18,83,86
ENSMUSG00000103147.1,64,54,111,72,100,90,105,75,90,122,104,83,62,85,77,138,24,74,36
ENSMUSG00000103161.1,162,140,191,131,252,202,195,146,175,243,203,115,119,243,185,231,22,151,130
ENSMUSG00000102331.1,387,333,403,295,494,346,437,387,350,516,404,291,263,511,471,582,72,353,303
ENSMUSG00000102348.1,0,2,8,6,2,5,5,6,1,2,2,1,5,2,8,11,0,4,3
ENSMUSG00000102592.1,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0
ENSMUSG00000088333.2,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0
ENSMUSG00000102343.1,0,0,3,0,0,1,0,0,0,2,0,0,1,1,0,0,0,0,0
ENSMUSG00000025900.12,12,9,10,16,15,12,10,8,6,11,7,15,21,21,8,51,4,20,20
ENSMUSG00000102948.1,0,0,0,1,0,0,0,1,0,0,0,0,0,0,0,0,0,0,0
ENSMUSG00000104123.1,0,0,0,0,0,0,0,0,0,0,1,0,0,0,1,0,0,0,0
ENSMUSG00000025902.13,126,123,123,121,137,115,143,140,98,158,123,121,211,155,200,259,135,147,181
ENSMUSG00000104238.1,1,1,3,9,6,3,1,2,3,7,2,0,3,3,1,5,6,6,1
ENSMUSG00000102269.1,1,1,6,5,4,4,6,10,2,3,2,2,1,1,3,3,0,1,4
ENSMUSG00000096126.1,0,0,0,0,1,0,0,0,0,0,0,0,0,0,0,1,0,1,0
ENSMUSG00000103003.1,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0
ENSMUSG00000104328.1,2,1,1,0,1,0,0,2,1,1,0,0,1,2,1,0,0,1,0
ENSMUSG00000102735.1,0,0,0,0,0,1,0,0,0,0,1,0,0,0,0,1,0,0,0
ENSMUSG00000098104.1,34,34,70,45,52,33,46,49,45,57,62,29,60,30,31,48,29,42,36
ENSMUSG00000102175.1,6,13,10,4,6,7,7,6,8,6,7,2,6,6,6,11,7,6,2
ENSMUSG00000088000.1,3,0,0,0,2,0,0,1,3,3,5,0,0,1,1,4,0,0,2
ENSMUSG00000103265.1,2,2,2,1,0,3,0,2,3,3,1,2,3,1,2,1,0,0,0
ENSMUSG00000103922.1,131,112,154,119,175,135,148,125,130,147,116,93,130,99,78,137,71,95,108
ENSMUSG00000033845.13,1214,981,1496,979,1417,1065,1253,1316,1141,1384,1083,1010,1909,1335,1561,2345,878,1612,1739
ENSMUSG00000102275.1,27,23,28,31,43,40,30,39,44,53,40,36,54,34,38,71,18,51,46
ENSMUSG00000025903.14,632,680,763,656,906,729,759,789,714,833,563,294,648,465,502,963,90,555,875
ENSMUSG00000104217.1,1,0,0,0,0,0,0,0,0,0,0,0,0,0,0,1,0,0,0
ENSMUSG00000033813.15,2516,2073,2873,2054,3281,2216,2607,2625,2316,2897,2251,1919,3527,2553,3058,4766,1528,3335,3648
ENSMUSG00000062588.4,19,25,18,24,22,24,21,20,20,40,14,11,13,9,13,33,10,16,22
ENSMUSG00000103280.1,61,36,59,52,74,66,57,63,45,69,48,43,50,71,51,98,13,77,49
ENSMUSG00000002459.17,362,308,327,270,412,327,321,362,319,419,278,273,402,380,390,627,245,356,399
ENSMUSG00000091305.1,4,1,6,1,6,12,4,2,5,8,6,2,1,5,7,7,0,3,3
ENSMUSG00000102653.1,12,17,23,15,31,18,21,28,29,41,34,5,13,19,13,31,5,25,13
ENSMUSG00000085623.1,55,77,84,59,123,67,94,54,75,113,88,55,81,78,89,137,17,72,65
ENSMUSG00000091665.1,1,2,1,2,0,0,2,2,3,9,2,0,1,0,0,5,2,3,6
ENSMUSG00000033793.12,6716,5480,7565,5441,8262,5933,6689,6908,5864,7793,5776,5801,10346,7661,8766,13974,5213,9280,10052
ENSMUSG00000104352.1,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0
ENSMUSG00000104046.1,4,1,1,6,5,2,3,4,3,4,2,2,0,3,1,1,1,6,5
ENSMUSG00000102907.1,0,0,0,0,1,0,0,2,0,0,0,1,0,0,0,0,1,0,0
ENSMUSG00000025905.13,13,13,25,13,32,21,24,27,38,21,33,27,29,32,40,95,5,39,48
ENSMUSG00000103936.1,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0
ENSMUSG00000093015.1,0,0,0,0,0,0,1,0,0,0,0,0,0,0,0,0,0,1,0
ENSMUSG00000103519.1,0,0,0,0,1,0,0,0,0,0,0,0,0,0,1,0,0,0,0
ENSMUSG00000033774.4,19,17,14,15,22,25,25,35,20,38,14,42,42,46,13,48,3,19,30
ENSMUSG00000103090.1,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0
ENSMUSG00000025907.14,8381,7031,9432,7002,10864,8012,9089,8536,8124,9434,7411,6396,10497,10029,10798,15889,3633,10375,11500
ENSMUSG00000090031.2,284,294,346,280,328,292,341,314,301,345,281,169,306,273,370,431,84,264,321
ENSMUSG00000087247.3,0,1,0,0,1,0,0,0,0,1,0,0,1,1,0,0,0,0,1
ENSMUSG00000103355.1,13,8,9,7,15,14,14,11,11,17,19,8,8,5,15,13,7,6,5
ENSMUSG00000102706.1,0,0,0,0,0,0,1,0,0,0,0,0,0,0,0,0,0,0,0
ENSMUSG00000103845.1,147,111,186,145,223,154,170,144,145,178,169,140,127,148,114,228,79,116,125
ENSMUSG00000033740.17,3942,2857,3697,2826,4725,2884,3793,3579,2999,3874,3138,2142,3729,3428,4338,5601,1484,3706,4337
ENSMUSG00000103329.2,137,117,152,108,196,140,148,117,134,136,149,105,125,168,203,261,36,152,164
ENSMUSG00000104385.1,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0
ENSMUSG00000102135.1,7,12,13,9,16,25,19,19,7,18,12,9,21,8,6,13,19,4,11
ENSMUSG00000103282.1,0,0,0,0,0,0,0,1,0,0,0,0,0,0,0,0,0,0,0
ENSMUSG00000102534.1,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0
ENSMUSG00000102213.1,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0
ENSMUSG00000103629.1,2,2,2,2,0,0,0,0,0,0,0,0,1,0,0,0,0,0,0
ENSMUSG00000051285.17,7873,6317,8874,6147,9896,7048,8353,7933,7257,8764,7320,6036,10464,8842,10226,15385,3358,10377,11962
ENSMUSG00000098201.1,10,14,6,15,18,14,11,18,6,8,19,12,7,21,16,24,2,19,7
ENSMUSG00000103509.1,1015,1005,1336,833,1290,923,1037,1001,938,1303,1001,604,1205,1153,1329,1307,275,852,1059
ENSMUSG00000048538.7,33,19,32,21,49,25,28,26,29,37,43,41,35,23,21,36,30,34,26
ENSMUSG00000103709.1,0,0,0,0,0,0,0,0,1,2,0,0,0,0,0,0,0,0,0
ENSMUSG00000077244.1,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0
ENSMUSG00000102768.1,0,0,0,0,0,0,1,0,0,0,0,0,0,0,0,1,0,0,0
ENSMUSG00000097797.6,49,40,40,39,52,50,54,38,32,58,37,57,55,61,34,87,21,49,45
ENSMUSG00000103498.1,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0
ENSMUSG00000103067.1,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,3,0,0,0
ENSMUSG00000102320.1,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0
ENSMUSG00000104226.1,1,1,0,0,0,2,1,0,0,1,2,1,1,1,0,0,0,0,1
ENSMUSG00000103903.1,1,0,0,0,0,0,1,0,0,0,0,0,0,0,0,0,0,0,0
ENSMUSG00000103557.1,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0
ENSMUSG00000025909.16,2353,1912,2384,1783,2994,2046,2570,2328,2091,2571,2124,2038,3025,2965,2700,4589,1255,2964,3054
ENSMUSG00000102647.1,46,36,52,40,84,54,59,47,52,77,54,39,30,70,48,75,23,67,42
ENSMUSG00000086235.1,21,6,8,9,23,22,17,20,19,15,14,9,15,26,14,28,7,16,16
ENSMUSG00000102253.1,73,67,75,68,107,89,85,66,72,139,79,63,78,92,70,134,23,55,71
ENSMUSG00000093970.1,1,1,2,2,4,0,3,2,1,0,1,2,3,2,0,3,1,0,0
ENSMUSG00000103884.1,24,17,26,20,32,32,29,29,24,27,25,10,14,13,19,25,1,17,15
ENSMUSG00000084353.1,7,2,5,3,1,2,6,2,1,3,0,3,1,5,1,2,0,2,3
ENSMUSG00000103933.1,151,106,151,111,130,115,124,102,112,140,147,36,47,30,40,62,27,56,59
ENSMUSG00000076135.1,24,23,46,27,47,25,23,32,31,34,29,7,9,3,1,4,0,4,20
ENSMUSG00000086195.1,4,3,1,5,1,3,1,1,1,1,7,1,3,1,0,5,1,0,0
ENSMUSG00000104504.1,1,1,2,0,2,1,0,3,0,1,0,3,0,0,2,3,0,1,4
ENSMUSG00000066693.2,18,36,44,22,44,36,29,33,9,39,19,25,31,32,26,29,8,38,25
ENSMUSG00000102316.1,13,17,28,11,19,18,21,10,24,27,12,7,4,11,8,6,0,5,15
ENSMUSG00000103819.1,17,10,27,13,28,26,15,13,12,31,29,15,10,27,24,29,10,17,21
ENSMUSG00000102871.1,84,71,114,81,126,117,104,86,104,115,103,68,66,120,87,104,17,64,69
ENSMUSG00000101571.2,9,7,6,11,12,9,9,11,4,14,3,8,8,3,3,3,6,4,7
ENSMUSG00000104428.1,0,2,0,0,0,0,0,1,0,1,0,0,0,0,0,0,0,0,0
ENSMUSG00000102272.1,0,0,1,0,0,0,0,0,0,1,0,0,0,0,0,1,0,2,0
ENSMUSG00000065625.1,0,0,0,0,1,0,0,0,0,0,0,0,0,1,0,0,0,0,0
ENSMUSG00000103411.1,2,1,3,1,1,1,2,1,4,2,4,0,2,6,4,4,0,4,0
ENSMUSG00000061024.8,497,458,625,410,779,475,559,566,512,645,429,556,775,613,710,1034,530,686,635
ENSMUSG00000025911.14,689,627,665,601,832,565,654,577,538,1067,587,422,1055,658,828,1328,292,791,827
ENSMUSG00000079671.8,116,101,153,81,153,157,150,124,120,166,107,102,121,146,120,146,43,124,118
ENSMUSG00000081441.3,3,9,7,6,11,3,6,9,4,14,5,6,6,5,3,8,4,1,8
ENSMUSG00000067879.3,10215,7924,10929,7786,12691,9581,10622,10701,9577,12891,8903,8343,14624,12086,11774,17779,5006,12409,13741
ENSMUSG00000099827.1,0,0,0,0,0,0,0,1,0,0,0,0,0,0,0,0,0,0,0
ENSMUSG00000025912.16,154,97,179,145,208,131,147,190,159,203,137,124,155,144,201,387,69,206,240
ENSMUSG00000045210.8,3872,3210,4785,3405,5479,4012,4870,4491,4013,5256,3796,2796,4261,4510,4719,7237,1376,4912,5087
